iter	RMSE
0	6576.558416
1	5915.568736
2	5189.744565
3	4697.335761
4	4192.930582
5	3801.725599
6	3475.291872
7	3189.107727
8	2952.402793
9	2756.155794
10	2627.556763
11	2542.733169
12	2416.809508
13	2352.565234
14	2273.128906
15	2200.537836
16	2166.846289
17	2106.478821
18	2044.708775
19	2018.624104
20	1979.152684
21	1942.525738
22	1914.94432
23	1853.814193
24	1831.662975
25	1806.252271
26	1786.584126
27	1739.450366
28	1720.913081
29	1695.465048
30	1671.705748
31	1651.163289
32	1616.871811
33	1601.641423
34	1582.087694
35	1567.800595
36	1555.434155
37	1525.97865
38	1505.775968
39	1495.278876
40	1479.560028
41	1463.304386
42	1452.137203
43	1442.407859
44	1428.055667
45	1411.054265
46	1402.311159
47	1395.052869
48	1383.27348
49	1373.350614
50	1364.220648
51	1356.186223
52	1330.260549
53	1323.030384
54	1318.296357
55	1300.788167
56	1281.255693
57	1263.434527
58	1258.307381
59	1251.878205
60	1243.090412
61	1235.022918
62	1229.116552
63	1225.105566
64	1219.890331
65	1208.561113
66	1202.124981
67	1198.459409
68	1190.75272
69	1188.281933
70	1182.399728
71	1176.397276
72	1170.580375
73	1167.864491
74	1159.28164
75	1150.390949
76	1138.944968
77	1136.425768
78	1130.157433
79	1125.340925
80	1119.771302
81	1117.385874
82	1115.101858
83	1109.074093
84	1106.225205
85	1102.409906
86	1095.74898
87	1091.243245
88	1090.176662
89	1081.22014
90	1076.284598
91	1075.192839
92	1067.921446
93	1064.163609
94	1058.954785
95	1055.78563
96	1049.866404
97	1044.478468
98	1038.580619
99	1036.275685
100	1032.126671
101	1027.148202
102	1025.092849
103	1022.250198
104	1020.794466
105	1014.199214
106	1011.369211
107	1009.036896
108	1008.307996
109	1007.08198
110	998.8800359
111	989.9198006
112	986.9573109
113	986.0109788
114	981.081182
115	978.7189264
116	977.4253148
117	974.9353036
118	972.0094268
119	969.7003994
120	966.9545146
121	965.9517811
122	959.0096304
123	958.408168
124	955.5797141
125	953.7231745
126	952.6274431
127	950.0894047
128	949.6562038
129	943.7012846
130	943.1572215
131	941.7841474
132	937.623103
133	930.865415
134	928.2059131
135	924.9686668
136	921.1463354
137	918.0603987
138	917.1638864
139	914.9602743
140	911.252493
141	906.0960954
142	905.4904145
143	904.2379853
144	900.3582889
145	899.062578
146	896.7676217
147	894.3544573
148	893.2590182
149	889.550314
150	888.9433122
151	884.7475472
152	883.3219467
153	882.1705069
154	881.3353706
155	879.3028069
156	878.9732482
157	874.3859279
158	873.6717773
159	868.7897111
160	866.2172126
161	863.3144628
162	862.413361
163	862.0331612
164	859.2144882
165	857.7485321
166	856.8012716
167	856.54439
168	853.5026731
169	852.3195529
170	847.9076245
171	846.5957108
172	845.2720558
173	843.4869349
174	840.2361102
175	839.969499
176	836.0923019
177	832.4481724
178	831.5195008
179	831.2676634
180	828.4529028
181	827.6040901
182	826.5247907
183	824.2449947
184	822.4966883
185	821.4620074
186	821.2832729
187	819.8891537
188	817.9712577
189	817.3030032
190	815.9820061
191	814.4244941
192	813.0284689
193	812.8015685
194	811.7457522
195	810.5924349
196	809.2791098
197	807.697433
198	805.8538035
199	802.8672469
200	802.6030198
201	798.2879391
202	795.2696048
203	794.293877
204	793.4147763
205	792.6499998
206	790.2500467
207	789.1840335
208	787.6224804
209	783.8870292
210	782.4410373
211	780.3345903
212	778.8176135
213	778.6154543
214	778.3487518
215	776.8862247
216	776.1382241
217	775.9116067
218	773.1796514
219	771.84959
220	771.0812362
221	768.7136254
222	767.9620342
223	767.0940347
224	766.002071
225	765.5771412
226	764.0043073
227	763.7986524
228	763.017737
229	760.135799
230	758.8904864
231	756.8159339
232	756.367098
233	756.0079552
234	755.1579092
235	754.1570643
236	752.8424405
237	752.1642021
238	749.6853502
239	749.3824876
240	748.5049895
241	747.2914259
242	745.9686198
243	745.5019009
244	744.440983
245	742.4204613
246	740.9229295
247	739.8368189
248	738.6934674
249	735.8328152
250	735.291991
251	734.7534646
252	733.4651227
253	732.5407152
254	731.4619142
255	731.2677733
256	730.5550805
257	729.6328767
258	728.6873454
259	726.2396335
260	726.122965
261	724.87078
262	724.4700757
263	723.3198094
264	722.9199511
265	720.8699848
266	720.587533
267	718.6616922
268	716.8760774
269	715.2924405
270	715.2163005
271	715.0068923
272	714.0215809
273	713.1427322
274	711.6270156
275	711.0184315
276	710.9666754
277	710.5982199
278	709.925249
279	708.7139637
280	708.0548238
281	705.6661876
282	705.4000301
283	704.6246149
284	703.2948623
285	701.1611413
286	700.7423808
287	700.5521827
288	698.6204094
289	697.8926249
290	697.595327
291	696.5718928
292	695.534729
293	694.9080233
294	694.3035589
295	693.7426965
296	692.4140593
297	692.3400505
298	691.4859049
299	690.1996635
300	689.4973967
301	689.4361248
302	688.5721844
303	687.7685988
304	687.5856354
305	687.5334567
306	686.5162186
307	686.0247996
308	685.5418075
309	685.0935599
310	684.7935602
311	684.3023072
312	684.1210047
313	683.4853136
314	683.012266
315	681.6975613
316	679.8697489
317	678.3324047
318	677.1948581
319	676.1856533
320	675.5298355
321	675.0653333
322	674.3336583
323	674.1896573
324	673.2972354
325	673.1902034
326	672.4720177
327	670.9034314
328	669.2186387
329	669.1266889
330	669.0802523
331	668.8925049
332	668.715156
333	668.5977745
334	667.3637135
335	667.1550315
336	667.0563942
337	666.5809594
338	666.377855
339	666.1638055
340	665.1888489
341	662.6284467
342	662.2413046
343	661.3911758
344	659.9067234
345	659.6819251
346	659.3685713
347	658.0466165
348	657.5323229
349	657.2806534
350	656.8417972
351	656.672889
352	655.4789953
353	654.1606028
354	654.0543363
355	653.2667952
356	653.0885229
357	653.0177648
358	652.9702422
359	652.8057505
360	652.2948378
361	651.6926028
362	651.4494435
363	651.3968765
364	651.1481939
365	650.0401049
366	649.5181314
367	648.9704147
368	648.8098571
369	648.2961556
370	648.2121717
371	647.7779934
372	646.3520311
373	645.8440388
374	645.7983368
375	644.7096254
376	643.7242544
377	642.8653004
378	642.4639146
379	642.0936727
380	641.92864
381	641.2925295
382	640.4733434
383	639.0460668
384	638.3831854
385	637.427206
386	636.9922302
387	636.4657987
388	636.4187267
389	635.7698088
390	635.4425183
391	635.4047057
392	635.2732998
393	635.1712463
394	634.8218562
395	634.7378009
396	634.0627455
397	634.0333444
398	633.9896566
399	633.9498387
400	633.0915775
401	633.0663546
402	631.5169157
403	630.9076704
404	630.3515487
405	630.0140722
406	629.7605976
407	629.7265571
408	629.4697713
409	629.3682917
410	629.3555157
411	629.2758816
412	629.2441859
413	629.1133894
414	628.7804274
415	628.7262697
416	628.0458105
417	626.9175197
418	625.5642254
419	624.6711015
420	623.8801586
421	623.2690487
422	623.2283002
423	623.1899069
424	622.9041947
425	622.8703334
426	622.7961969
427	622.3353771
428	621.952506
429	621.1601213
430	620.857307
431	620.4737059
432	620.1917679
433	619.9971062
434	619.9258454
435	619.4472695
436	617.853999
437	617.404738
438	616.9191649
439	616.417803
440	616.1309694
441	615.8962167
442	615.2845111
443	615.2128693
444	615.1558303
445	614.8658804
446	614.7445448
447	614.2838424
448	614.0444956
449	614.0024589
450	613.7470391
451	613.1606182
452	613.1238921
453	612.6417229
454	612.5959058
455	612.3170456
456	612.1752519
457	611.5971957
458	611.2685223
459	610.7417804
460	610.1531502
461	609.3787255
462	609.3488441
463	608.7457607
464	608.3930733
465	607.6766121
466	607.597724
467	607.458469
468	606.9627968
469	606.3806463
470	605.9018637
471	605.7088912
472	605.3359197
473	605.0708307
474	603.9245012
475	603.890624
476	603.5257531
477	603.5100991
478	603.4384737
479	603.1898053
480	603.116818
481	603.0693379
482	603.0088671
483	602.4970487
484	602.4858888
485	602.3401476
486	602.2948288
487	602.1371766
488	601.5587255
489	601.5083105
490	601.301992
491	601.2780188
492	601.1239145
493	601.0263134
494	601.0241737
495	599.7689417
496	599.572374
497	599.0203766
498	598.8416765
499	598.7789946
500	598.3199648
501	598.2986059
502	598.2822725
503	598.2307712
504	597.9287839
505	597.4881023
506	597.4530376
507	597.0557959
508	596.5894178
509	596.4040002
510	596.115302
511	595.8766498
512	595.6398893
513	595.6135557
514	595.4424532
515	595.2778885
516	595.1429515
517	595.1268608
518	594.5848244
519	594.2904863
520	593.657147
521	593.0958628
522	592.7554368
523	592.6427408
524	592.3040693
525	591.9857391
526	591.6018119
527	591.437676
528	591.1857846
529	590.9967333
530	590.5153289
531	590.3579336
532	589.9119787
533	589.7088795
534	589.4619975
535	589.3836737
536	588.9337702
537	588.9167223
538	588.4096188
539	588.1846631
540	587.8547429
541	587.5447807
542	587.191751
543	586.7875868
544	586.7271843
545	586.7077638
546	586.6061845
547	586.5241121
548	586.4325398
549	586.2417559
550	586.2260561
551	585.841157
552	585.5243274
553	585.273815
554	584.9147507
555	584.9038932
556	584.4933011
557	584.47735
558	584.2400447
559	584.2293679
560	583.8609481
561	583.6401216
562	583.3781921
563	583.3294783
564	583.3038178
565	583.1136548
566	583.1001746
567	582.9596989
568	582.7816414
569	582.739565
570	582.6957409
571	582.3506709
572	582.0205888
573	581.6450923
574	581.4917231
575	581.119094
576	580.7426617
577	580.4978643
578	580.4696845
579	580.1513495
580	580.088149
581	579.4413097
582	578.3169236
583	578.2143802
584	578.1868358
585	578.0073584
586	577.9891123
587	577.9647539
588	577.8643563
589	577.6958197
590	577.5493326
591	577.2963525
592	577.2240783
593	577.1586702
594	576.8698596
595	576.6286784
596	575.940349
597	575.7060796
598	575.078524
599	574.9307091
600	574.9072269
601	574.8792397
602	574.8307428
603	574.7075411
604	574.6906142
605	574.5145328
606	574.0990471
607	574.0596109
608	573.8680688
609	573.8335434
610	573.7026034
611	573.3807984
612	573.2242611
613	573.1514585
614	573.0036594
615	572.7186774
616	572.4386289
617	572.4009546
618	572.1985083
619	572.095695
620	572.0776718
621	571.9861847
622	571.93995
623	571.9051298
624	571.8810499
625	571.6022126
626	571.4567384
627	571.1197307
628	571.1086111
629	571.0294634
630	570.9066028
631	570.8355604
632	570.702303
633	570.4698155
634	570.4541486
635	570.2676089
636	570.2566902
637	570.2284446
638	570.0511699
639	569.9173683
640	569.7785865
641	569.7551179
642	569.6643036
643	569.6365382
644	568.6691889
645	568.4452416
646	568.2184515
647	567.964825
648	567.6893803
649	567.675693
650	567.3954552
651	567.0686245
652	566.8824272
653	566.6833423
654	566.6103438
655	566.0884659
656	565.9656453
657	565.8990406
658	565.8845269
659	565.7454857
660	565.6065723
661	565.533974
662	565.2328396
663	565.2136135
664	564.8073158
665	564.730366
666	564.5348823
667	564.4173363
668	564.3032753
669	564.2350959
670	564.2136359
671	564.199356
672	564.1613192
673	563.9563019
674	563.8409167
675	563.681578
676	563.6184594
677	563.5941741
678	563.4833866
679	563.1735259
680	562.7535657
681	562.4334706
682	562.1771975
683	562.1437024
684	562.0276533
685	561.9280534
686	561.911009
687	561.7745748
688	561.7565531
689	561.5852805
690	561.4797089
691	561.1954639
692	561.0880761
693	561.0044938
694	560.9084173
695	560.7054295
696	560.683112
697	560.6242015
698	560.6056261
699	560.5010134
700	560.4375739
701	560.3062971
702	560.286597
703	560.2089862
704	560.1945462
705	560.0410976
706	559.8874202
707	559.8754129
708	559.6822389
709	559.5865275
710	559.4908864
711	559.2311147
712	559.096958
713	559.0723671
714	559.046392
715	558.9262291
716	558.9098697
717	558.8583004
718	558.5139131
719	558.4682538
720	558.0890336
721	557.9744924
722	557.8266983
723	557.749185
724	557.640834
725	557.5483558
726	557.5109644
727	557.4857236
728	557.3465273
729	557.3081256
730	557.2931892
731	557.2883965
732	557.1059696
733	557.0933458
734	556.6845054
735	556.6261655
736	556.5058173
737	556.4049402
738	556.3965051
739	556.3784938
740	556.3707889
741	556.2285132
742	556.2252438
743	556.1670023
744	556.0476586
745	556.0162063
746	556.0085807
747	555.9547303
748	555.8713915
749	555.8018061
