iter	Passed	Remaining
399	37854	56781
400	37947	56684
401	38039	56586
402	38133	56489
403	38226	56394
404	38319	56296
405	38410	56195
406	38502	56098
407	38596	56003
408	38693	55912
409	38783	55810
410	38874	55710
411	38968	55615
412	39060	55516
413	39165	55436
414	39268	55355
415	39360	55256
416	39449	55153
417	39537	55049
418	39629	54952
419	39718	54849
420	39809	54749
421	39899	54648
422	39990	54550
423	40085	54456
424	40175	54354
425	40268	54258
426	40357	54156
427	40447	54056
428	40537	53956
429	40627	53855
430	40717	53754
431	40811	53659
432	40901	53559
433	40996	53465
434	41086	53364
435	41174	53262
436	41263	53161
437	41356	53064
438	41446	52964
439	41535	52863
440	41628	52766
441	41720	52669
442	41814	52575
443	41905	52475
444	41994	52374
445	42083	52273
446	42173	52173
447	42262	52072
448	42353	51974
449	42446	51879
450	42537	51781
451	42628	51681
452	42718	51582
453	42808	51482
454	42899	51385
455	42992	51289
456	43081	51188
457	43171	51088
458	43257	50985
459	43349	50888
460	43442	50793
461	43535	50696
462	43625	50598
463	43714	50497
464	43806	50400
465	43895	50301
466	43988	50205
467	44080	50108
468	44167	50006
469	44260	49911
470	44351	49812
471	44438	49710
472	44527	49611
473	44617	49511
474	44707	49413
475	44803	49321
476	44893	49223
477	44984	49125
478	45075	49027
479	45164	48928
480	45255	48830
481	45342	48729
482	45431	48629
483	45526	48536
484	45618	48440
485	45711	48344
486	45803	48248
487	45894	48151
488	45982	48051
489	46074	47954
490	46163	47855
491	46256	47761
492	46349	47666
493	46442	47570
494	46536	47477
495	46632	47385
496	46723	47287
497	46814	47190
498	46906	47094
499	46995	46995
500	47089	46901
501	47179	46803
502	47270	46706
503	47360	46608
504	47455	46515
505	47545	46417
506	47638	46322
507	47728	46225
508	47820	46129
509	47910	46031
510	47998	45931
511	48090	45836
512	48185	45742
513	48274	45644
514	48364	45547
515	48454	45449
516	48544	45352
517	48637	45257
518	48730	45162
519	48822	45066
520	48913	44970
521	49002	44871
522	49093	44775
523	49184	44679
524	49275	44582
525	49377	44496
526	49477	44407
527	49571	44313
528	49663	44218
529	49756	44124
530	49847	44027
531	49939	43931
532	50028	43833
533	50120	43738
534	50213	43643
535	50306	43548
536	50397	43452
537	50487	43355
538	50579	43259
539	50669	43163
540	50761	43067
541	50851	42970
542	50942	42874
543	51031	42776
544	51122	42680
545	51212	42583
546	51304	42488
547	51396	42392
548	51488	42297
549	51578	42200
550	51668	42104
551	51759	42007
552	51849	41911
553	51941	41815
554	52031	41718
555	52122	41622
556	52216	41529
557	52307	41433
558	52397	41336
559	52489	41241
560	52578	41144
561	52668	41047
562	52760	40952
563	52858	40862
564	52947	40764
565	53036	40667
566	53129	40573
567	53222	40479
568	53316	40385
569	53405	40288
570	53494	40191
571	53585	40095
572	53676	39999
573	53766	39903
574	53856	39807
575	53946	39710
576	54038	39615
577	54130	39520
578	54220	39424
579	54309	39327
580	54399	39231
581	54488	39134
582	54578	39038
583	54669	38942
584	54760	38847
585	54849	38750
586	54942	38656
587	55029	38558
588	55121	38463
589	55210	38366
590	55299	38270
591	55390	38174
592	55480	38078
593	55568	37980
594	55658	37885
595	55748	37788
596	55838	37693
597	55928	37597
598	56020	37502
599	56108	37405
600	56202	37312
601	56291	37216
602	56382	37120
603	56472	37025
604	56563	36929
605	56653	36833
606	56744	36739
607	56832	36642
608	56922	36546
609	57012	36450
610	57102	36355
611	57193	36260
612	57282	36163
613	57371	36067
614	57460	35970
615	57550	35875
616	57640	35780
617	57729	35684
618	57818	35587
619	57907	35491
620	57995	35394
621	58087	35300
622	58178	35206
623	58271	35112
624	58362	35017
625	58450	34920
626	58539	34824
627	58626	34728
628	58716	34632
629	58804	34536
630	58894	34440
631	58985	34346
632	59075	34250
633	59166	34155
634	59259	34062
635	59347	33966
636	59449	33877
637	59546	33786
638	59648	33697
639	59743	33605
640	59832	33509
641	59920	33413
642	60007	33316
643	60105	33225
644	60197	33132
645	60290	33038
646	60379	32942
647	60467	32846
648	60557	32751
649	60646	32655
650	60733	32559
651	60825	32465
652	60913	32369
653	61001	32273
654	61091	32178
655	61181	32083
656	61276	31990
657	61367	31895
658	61455	31800
659	61546	31705
660	61636	31610
661	61725	31515
662	61816	31421
663	61905	31325
664	61993	31229
665	62084	31135
666	62172	31039
667	62262	30945
668	62357	30852
669	62446	30757
670	62535	30662
671	62623	30566
672	62712	30470
673	62801	30375
674	62892	30281
675	62981	30186
676	63070	30091
677	63160	29996
678	63254	29903
679	63343	29808
680	63434	29714
681	63524	29619
682	63614	29525
683	63702	29429
684	63792	29335
685	63882	29240
686	63972	29145
687	64060	29050
688	64148	28955
689	64238	28860
690	64327	28765
691	64417	28671
692	64507	28576
693	64596	28481
694	64684	28386
695	64773	28291
696	64863	28197
697	64951	28102
698	65039	28006
699	65128	27912
700	65219	27818
701	65308	27723
702	65399	27629
703	65494	27537
704	65583	27442
705	65672	27347
706	65762	27253
707	65852	27159
708	65942	27065
709	66035	26972
710	66125	26878
711	66213	26783
712	66306	26689
713	66392	26594
714	66481	26499
715	66575	26406
716	66663	26312
717	66752	26217
718	66841	26123
719	66931	26028
720	67021	25934
721	67110	25840
722	67200	25746
723	67289	25651
724	67379	25557
725	67468	25463
726	67559	25369
727	67646	25274
728	67733	25179
729	67822	25085
730	67909	24990
731	67997	24895
732	68088	24801
733	68179	24708
734	68269	24614
735	68362	24521
736	68452	24427
737	68544	24334
738	68635	24240
739	68722	24145
740	68813	24052
741	68902	23957
742	68990	23863
743	69079	23769
744	69169	23675
745	69257	23580
746	69348	23487
747	69436	23393
748	69523	23298
749	69615	23205
750	69713	23114
751	69815	23024
752	69916	22934
753	70009	22841
754	70101	22748
755	70195	22655
756	70289	22563
757	70380	22469
758	70473	22377
759	70564	22283
760	70655	22190
761	70747	22096
762	70838	22003
763	70926	21909
764	71015	21815
765	71103	21720
766	71192	21626
767	71281	21532
768	71371	21439
769	71459	21344
770	71547	21250
771	71634	21156
772	71725	21062
773	71818	20970
774	71907	20876
775	71996	20782
776	72085	20688
777	72173	20594
778	72261	20500
779	72352	20407
780	72443	20313
781	72531	20219
782	72620	20125
783	72709	20032
784	72796	19937
785	72891	19845
786	72979	19751
787	73069	19658
788	73160	19565
789	73247	19470
790	73329	19375
791	73415	19280
792	73500	19186
793	73592	19093
794	73678	18998
795	73764	18904
796	73848	18809
797	73933	18715
798	74022	18621
799	74109	18527
800	74199	18434
801	74285	18339
802	74371	18245
803	74459	18151
804	74547	18058
805	74633	17963
806	74718	17869
807	74804	17775
808	74889	17680
809	74972	17586
810	75057	17491
811	75144	17398
812	75232	17304
813	75320	17210
814	75407	17117
815	75493	17023
816	75579	16928
817	75665	16835
818	75748	16740
819	75834	16646
820	75918	16552
821	76005	16458
822	76095	16365
823	76182	16271
824	76270	16178
825	76354	16084
826	76441	15990
827	76527	15896
828	76616	15803
829	76701	15710
830	76786	15616
831	76872	15522
832	76956	15428
833	77044	15335
834	77132	15241
835	77220	15148
836	77309	15055
837	77398	14962
838	77488	14869
839	77573	14775
840	77659	14682
841	77744	14588
842	77828	14494
843	77913	14401
844	78000	14307
845	78089	14214
846	78179	14122
847	78266	14028
848	78350	13935
849	78436	13841
850	78523	13748
851	78611	13655
852	78702	13563
853	78788	13469
854	78872	13376
855	78957	13282
856	79044	13189
857	79134	13096
858	79222	13003
859	79310	12911
860	79396	12817
861	79482	12724
862	79569	12631
863	79656	12538
864	79739	12444
865	79822	12351
866	79906	12257
867	80005	12166
868	80102	12075
869	80194	11983
870	80283	11890
871	80367	11797
872	80453	11703
873	80540	11611
874	80627	11518
875	80713	11425
876	80800	11332
877	80884	11239
878	80967	11145
879	81058	11053
880	81146	10960
881	81231	10867
882	81319	10775
883	81406	10682
884	81493	10589
885	81579	10496
886	81665	10403
887	81749	10310
888	81831	10217
889	81915	10124
890	82002	10031
891	82092	9939
892	82180	9846
893	82267	9754
894	82353	9661
895	82437	9568
896	82526	9476
897	82612	9383
898	82698	9290
899	82781	9197
900	82868	9105
901	82952	9012
902	83040	8920
903	83129	8827
904	83215	8735
905	83304	8643
906	83391	8550
907	83480	8458
908	83569	8366
909	83655	8273
910	83738	8180
911	83822	8088
912	83906	7995
913	83991	7902
914	84078	7810
915	84168	7718
916	84255	7626
917	84342	7533
918	84428	7441
919	84515	7349
920	84600	7256
921	84685	7164
922	84769	7071
923	84853	6979
924	84938	6886
925	85026	6794
926	85114	6702
927	85203	6610
928	85291	6518
929	85378	6426
930	85463	6334
931	85548	6241
932	85635	6149
933	85719	6057
934	85803	5964
935	85888	5872
936	85974	5780
937	86062	5688
938	86150	5596
939	86238	5504
940	86324	5412
941	86410	5320
942	86495	5228
943	86582	5136
944	86669	5044
945	86752	4952
946	86834	4859
947	86921	4767
948	87009	4675
949	87099	4584
950	87183	4492
951	87269	4400
952	87355	4308
953	87443	4216
954	87529	4124
955	87614	4032
956	87700	3940
957	87786	3848
958	87873	3756
959	87962	3665
960	88051	3573
961	88137	3481
962	88223	3389
963	88310	3297
964	88395	3206
965	88480	3114
966	88565	3022
967	88650	2930
968	88735	2838
969	88823	2747
970	88909	2655
971	88997	2563
972	89084	2472
973	89172	2380
974	89261	2288
975	89349	2197
976	89431	2105
977	89516	2013
978	89601	1922
979	89691	1830
980	89781	1738
981	89868	1647
982	89954	1555
983	90041	1464
984	90130	1372
985	90224	1281
986	90318	1189
987	90406	1098
988	90492	1006
989	90577	914
990	90669	823
991	90753	731
992	90839	640
993	90925	548
994	91012	457
995	91098	365
996	91183	274
997	91270	182
998	91355	91
999	91440	0
